人机交互与普适计算	CSCW	ACM Conference on Computer Supported Cooperative Work and Social Computing	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/cscw
人机交互与普适计算	CHI	ACM Conference on Human Factors in Computing Systems	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/chi
人机交互与普适计算	UbiComp	ACM international joint conference on Pervasive and Ubiquitous Computing	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/huc/
计算机体系结构/并行与分布计算/存储系统	PPoPP	ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/ppopp/
网络与信息安全	CCS	ACM Conference on Computer and Communications Security	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/ccs/
人机交互与普适计算	UIST	ACM Symposium on User Interface Software and Technology	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/uist/
人机交互与普适计算	GROUP	ACM International Conference on Supporting Group Work	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/group/
计算机体系结构/并行与分布计算/存储系统	FAST	USENIX Conference on File and Storage Technologies	Conference	A	USENIX	http://dblp.uni-trier.de/db/conf/fast/
计算机体系结构/并行与分布计算/存储系统	DAC	Design Automation Conference	Conference	A	ACM	https://dblp.uni-trier.de/db/conf/dac/
计算机体系结构/并行与分布计算/存储系统	HPCA	IEEE International Symposium on High Performance Computer Architecture	Conference	A	IEEE	http://dblp.uni-trier.de/db/conf/cnhpca/
计算机网络	SIGCOMM	ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/sigcomm/index.html
计算机网络	MobiCom	ACM International Conference on Mobile Computing and Networking	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/mobicom/
网络与信息安全	EUROCRYPT	International Conference on the Theory and Applications of Cryptographic Techniques	Conference	A	Springer	http://dblp.uni-trier.de/db/conf/eurocrypt/
网络与信息安全	S&P	IEEE Symposium on Security and Privacy	Conference	A	IEEE	http://dblp.uni-trier.de/db/conf/sp/
人机交互与普适计算	IUI	ACM International Conference on Intelligent User Interfaces	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/iui/
人机交互与普适计算	ITS	ACM International Conference on Interactive Tabletops and Surfaces	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/tabletop/
人机交互与普适计算	ECSCW	European Conference on Computer Supported Cooperative Work	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/ecscw/
计算机体系结构/并行与分布计算/存储系统	MICRO	IEEE/ACM International Symposium on Microarchitecture	Conference	A	IEEE/ACM	http://dblp.uni-trier.de/db/conf/micro/
计算机体系结构/并行与分布计算/存储系统	SC	International Conference for High Performance Computing, Networking, Storage, and Analysis	Conference	A	IEEE	http://dblp.uni-trier.de/db/conf/sc/
计算机网络	INFOCOM	IEEE International Conference on Computer Communications	Conference	A	IEEE	http://dblp.uni-trier.de/db/conf/infocom/
计算机网络	NSDI	Symposium on Network System Design and Implementation	Conference	A	USENIX	http://dblp.uni-trier.de/db/conf/nsdi/
网络与信息安全	CRYPTO	International Cryptology Conference	Conference	A	Springer	http://dblp.uni-trier.de/db/conf/crypto/
人机交互与普适计算	PERCOM	IEEE International Conference on Pervasive Computing and Communications	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/percom/
计算机体系结构/并行与分布计算/存储系统	ASPLOS	International Conference on Architectural Support for Programming Languages and Operating Systems	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/asplos/
计算机网络	SenSys	ACM Conference on Embedded Networked Sensor Systems	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/sensys/
软件工程/系统软件/程序设计语言	PLDI	ACM SIGPLAN Conference on Programming Language Design and   Implementation	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/pldi/
网络与信息安全	USENIX Security	USENIX Security Symposium	Conference	A	USENIX Association	http://dblp.uni-trier.de/db/conf/uss/
网络与信息安全	NDSS	Network and Distributed System Security Symposium	Conference	A	ISOC	http://dblp.uni-trier.de/db/conf/ndss/
人机交互与普适计算	MobileHCI	ACM International Conference on Mobile Human-Computer Interaction	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/mhci/
人机交互与普适计算	ICWSM	The International AAAI Conference on Web and Social Media	Conference	B	AAAI	https://dblp.org/db/conf/icwsm/index.html
人机交互与普适计算	DIS	ACM SIGCHI Conference on Designing Interactive Systems	Conference	C	ACM	http://dblp.uni-trier.de/db/conf/ACMdis/
计算机体系结构/并行与分布计算/存储系统	ISCA	International Symposium on Computer Architecture	Conference	A	ACM /IEEE	http://dblp.uni-trier.de/db/conf/isca/
计算机体系结构/并行与分布计算/存储系统	USENIX ATC	USENIX Annual Technical Conference	Conference	A	USENIX	http://dblp.uni-trier.de/db/conf/usenix/index.html
计算机体系结构/并行与分布计算/存储系统	EuroSys	European Conference on Computer Systems	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/eurosys/
交叉/综合/新兴	WWW	International World Wide Web Conference	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/www/
计算机科学理论	STOC	ACM Symposium on Theory of Computing	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/stoc/
计算机科学理论	SODA	ACM-SIAM Symposium on Discrete Algorithms	Conference	A	SIAM	http://dblp.uni-trier.de/db/conf/soda/
计算机网络	CoNEXT	ACM International Conference on emerging Networking EXperiments and Technologies	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/conext/
计算机网络	SECON	IEEE International Conference on Sensing, Communication, and Networking	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/secon/
计算机网络	IPSN	International Conference on Information Processing in Sensor Networks	Conference	B	IEEE/ACM	http://dblp.uni-trier.de/db/conf/ipsn/
软件工程/系统软件/程序设计语言	POPL	ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/popl/
软件工程/系统软件/程序设计语言	FSE/ESEC	ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Conference	A	ACM 	http://dblp.uni-trier.de/db/conf/sigsoft/
软件工程/系统软件/程序设计语言	SOSP	ACM Symposium on Operating Systems Principles	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/sosp/
计算机图形学与多媒体	ACM MM	ACM International Conference on Multimedia	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/mm/
网络与信息安全	ACSAC	Annual Computer Security Applications Conference	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/acsac/
人机交互与普适计算	ICMI	ACM International Conference on Multimodal Interaction	Conference	C	ACM	http://dblp.uni-trier.de/db/conf/icmi/
人机交互与普适计算	ASSETS	International ACM SIGACCESS Conference on Computers and Accessibility	Conference	C	ACM	http://dblp.uni-trier.de/db/conf/assets
计算机体系结构/并行与分布计算/存储系统	SOCC	ACM Symposium on Cloud Computing	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/cloud/
交叉/综合/新兴	RTSS	IEEE Real-Time Systems Symposium	Conference	A	IEEE	http://dblp.uni-trier.de/db/conf/rtss/
交叉/综合/新兴	WINE	Conference on Web and Internet Economics	Conference	A	Springer	https://dblp.org/db/conf/wine/index.html
计算机科学理论	CAV	International Conference on Computer Aided Verification	Conference	A	Springer	http://dblp.uni-trier.de/db/conf/cav/
计算机科学理论	FOCS	IEEE Annual Symposium on Foundations of Computer Science	Conference	A	IEEE	http://dblp.uni-trier.de/db/conf/focs/
计算机网络	MobiSys	ACM International Conference on Mobile Systems, Applications, and Services	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/mobisys/
计算机网络	ICNP	IEEE International Conference on Network Protocols	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/icnp/
软件工程/系统软件/程序设计语言	OOPSLA	Conference on Object-Oriented Programming Systems, Languages,and Applications	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/oopsla/
软件工程/系统软件/程序设计语言	ASE	International Conference on Automated Software Engineering	Conference	A	IEEE/ACM	http://dblp.uni-trier.de/db/conf/kbse/
计算机图形学与多媒体	SIGGRAPH	ACM Special Interest Group on Computer Graphics	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/siggraph/index.html
计算机图形学与多媒体	VR	IEEE Virtual Reality	Conference	A	IEEE	http://dblp.uni-trier.de/db/conf/vr/
网络与信息安全	ASIACRYPT	Annual International Conference on the Theory and Application of Cryptology and Information Security	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/asiacrypt/
网络与信息安全	ESORICS	European Symposium on Research in Computer Security	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/esorics/
人机交互与普适计算	GI	Graphics Interface	Conference	C	ACM	http://dblp.uni-trier.de/db/conf/graphicsinterface/
人机交互与普适计算	UIC	IEEE International Conference on Ubiquitous Intelligence and Computing	Conference	C	IEEE	http://dblp.uni-trier.de/db/conf/uic/
计算机体系结构/并行与分布计算/存储系统	SPAA	ACM Symposium on Parallelism in Algorithms and Architectures	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/spaa/
计算机体系结构/并行与分布计算/存储系统	PODC	ACM Symposium on Principles of Distributed Computing	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/podc/
交叉/综合/新兴	CogSci	Annual Meeting of the Cognitive Science Society	Conference	B	Psychology Press	http://cognitivesciencesociety.org/conference2013/index.html
计算机科学理论	LICS	ACM/IEEE Symposium on Logic in Computer Science	Conference	A	IEEE	http://dblp.uni-trier.de/db/conf/lics/
计算机科学理论	SoCG	International Symposium on Computational Geometry	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/compgeom/
计算机网络	MobiHoc	International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing	Conference	B	ACM/IEEE	http://dblp.uni-trier.de/db/conf/mobihoc/
计算机网络	NOSSDAV	International Workshop on Network and Operating System Support for Digital Audio and Video	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/nossdav/
计算机网络	IWQoS	IEEE/ACM International Workshop on Quality of Service	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/iwqos/
软件工程/系统软件/程序设计语言	ICSE	International Conference on Software Engineering	Conference	A	ACM/IEEE	http://dblp.uni-trier.de/db/conf/icse/
软件工程/系统软件/程序设计语言	ISSTA	International Symposium on Software Testing and Analysis	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/issta/
软件工程/系统软件/程序设计语言	OSDI	USENIX Symposium on Operating Systems Design and Implementations	Conference	A	USENIX	http://dblp.uni-trier.de/db/conf/osdi/
计算机图形学与多媒体	IEEE VIS	IEEE Visualization Conference	Conference	A	IEEE	http://dblp.uni-trier.de/db/conf/visualization/index.html
计算机图形学与多媒体	ICMR	ACM SIGMM International Conference on Multimedia Retrieval	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/mir/
网络与信息安全	FSE	Fast Software Encryption	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/fse/
网络与信息安全	CSFW	IEEE Computer Security Foundations Workshop	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/csfw/
网络与信息安全	SRDS	IEEE International Symposium on Reliable Distributed Systems	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/srds/
人机交互与普适计算		IEEE World Haptics Conference	Conference	C	IEEE	http://dblp.uni-trier.de/db/conf/haptics/
人机交互与普适计算	INTERACT	International Conference on Human- Computer Interaction of International Federation for Information Processing	Conference	C	IFIP	http://dblp.uni-trier.de/db/conf/interact/
人机交互与普适计算	IDC	ACM Interaction Design and Children	Conference	C	ACM	http://dblp.uni-trier.de/db/conf/acmidc/
计算机体系结构/并行与分布计算/存储系统	FPGA	ACM/SIGDA International Symposium on Field-Programmable Gate Arrays	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/fpga/
计算机体系结构/并行与分布计算/存储系统	CGO	The International Symposium on Code Generation and Optimization	Conference	B	IEEE/ACM	http://dblp.uni-trier.de/db/conf/cgo/
计算机体系结构/并行与分布计算/存储系统	DATE	Design, Automation & Test in Europe 	Conference	B	IEEE/ACM	http://dblp.uni-trier.de/db/conf/date/
交叉/综合/新兴	BIBM	IEEE International Conference on Bioinformatics and Biomedicine	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/bibm/
交叉/综合/新兴	EMSOFT	International Conference on Embedded Software	Conference	B	ACM/IEEE/IFIP	http://dblp.uni-trier.de/db/conf/emsoft/
交叉/综合/新兴	ISMB	International conference on Intelligent Systems for Molecular Biology	Conference	B	Oxford Journals	https://dblp.org/db/conf/ismb/index.html
计算机科学理论	ESA	European Symposium on Algorithms	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/esa/
计算机科学理论	CCC	Conference on Computational Complexity	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/coco/
计算机科学理论	ICALP	International Colloquium on Automata, Languages and Programming	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/icalp/
计算机网络	IMC	ACM Internet Measurement Conference	Conference	B	ACM/USENIX	http://dblp.uni-trier.de/db/conf/imc/
计算机网络	ANCS	ACM/IEEE Symposium on Architectures for Networking and Communication Systems	Conference	C	ACM/IEEE	http://dblp.uni-trier.de/db/conf/ancs/
数据库/数据挖掘/内容检索	SIGMOD	ACM SIGMOD Conference	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/sigmod/
数据库/数据挖掘/内容检索	SIGKDD	ACM SIGKDD Conference on Knowledge Discovery and Data Mining	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/kdd/
软件工程/系统软件/程序设计语言	FM	International Symposium on Formal Methods	Conference	A	FME	http://dblp.uni-trier.de/db/conf/fm/
软件工程/系统软件/程序设计语言	ECOOP	European Conference on Object-Oriented Programming	Conference	B	AITO	http://dblp.uni-trier.de/db/conf/ecoop/
计算机图形学与多媒体	I3D	ACM SIGGRAPH Symposium onInteractive 3D Graphics and Games	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/si3d/
计算机图形学与多媒体	SCA	ACM SIGGRAPH/Eurographics Symposium on Computer Animation	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/sca/index.html
网络与信息安全	CHES	International Conference on Cryptographic Hardware and Embedded Systems	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/ches/
网络与信息安全	DSN	International Conference on Dependable Systems and Networks	Conference	B	IEEE/IFIP	http://dblp.uni-trier.de/db/conf/dsn/
人机交互与普适计算	CollaborateCom	International Conference on Collaborative Computing:Networking, Applications and Worksharing	Conference	C	Springer	https://dblp.uni-trier.de/db/conf/colcom/
人机交互与普适计算	CSCWD	International Conference on Computer Supported Cooperative Work in Design	Conference	C	Springer	http://dblp.uni-trier.de/db/conf/cscwd/
计算机体系结构/并行与分布计算/存储系统	HOT CHIPS	Hot Chips: A Symposium on High Performance Chips	Conference	B	IEEE	https://dblp.org/db/conf/hotchips/index.html
计算机体系结构/并行与分布计算/存储系统	CLUSTER	IEEE International Conference on Cluster Computing	Conference	B	IEEE	https://dblp.uni-trier.de/db/conf/cluster/
交叉/综合/新兴	RECOMB	Annual International Conference on Research inComputational Molecular Biology	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/recomb/
交叉/综合/新兴	MICCAI	International Conference on Medical Image Computing and Computer-Assisted Intervention	Conference	B	Springer	https://dblp.org/db/conf/miccai/index.html
计算机科学理论		International Conference on Automated Deduction/International Joint Conference on Automated Reasoning	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/cade/
计算机科学理论	CONCUR	International Conference on Concurrency Theory	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/concur/
计算机网络	APNOMS	Asia-Pacific Network Operations and Management Symposium	Conference	C	IFIP/IEEE	http://dblp.uni-trier.de/db/conf/apnoms/
计算机网络	FORTE	International Conference on Formal Techniques for Distributed Objects, Components, and Systems	Conference	C	Springer	http://dblp.uni-trier.de/db/conf/forte/
数据库/数据挖掘/内容检索	ICDE	IEEE International Conference on Data Engineering	Conference	A	IEEE	http://dblp.uni-trier.de/db/conf/icde/
数据库/数据挖掘/内容检索	SIGIR	International ACM SIGIR Conference on Research and Development in Information Retrieval	Conference	A	ACM	http://dblp.uni-trier.de/db/conf/sigir/
软件工程/系统软件/程序设计语言	ETAPS	European Joint Conferences on Theory and Practice of Software	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/etaps/
软件工程/系统软件/程序设计语言	ICPC	IEEE International Conference on Program Comprehension	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/iwpc/
计算机图形学与多媒体	DCC	Data Compression Conference	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/dcc/
计算机图形学与多媒体	Eurographics	Annual Conference of the European Association for Computer Graphics	Conference	B	Wiley/ Blackwell	http://dblp.uni-trier.de/db/conf/eurographics/
网络与信息安全	RAID	International Symposium on Recent Advances in Intrusion Detection	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/raid/
人机交互与普适计算	CoopIS	International Conference on Cooperative Information Systems	Conference	C	Springer	http://dblp.uni-trier.de/db/conf/coopis/
计算机体系结构/并行与分布计算/存储系统	ICCD	International Conference on Computer Design	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/iccd/
交叉/综合/新兴	AMIA	American Medical Informatics Association Annual Symposium	Conference	C	AMIA	http://dblp.uni-trier.de/db/conf/amia/
计算机科学理论	HSCC	International Conference on Hybrid Systems: Computation and Control	Conference	B	Springer and ACM	http://dblp.uni-trier.de/db/conf/hybrid/
计算机网络	LCN	IEEE Conference on Local Computer Networks	Conference	C	IEEE	http://dblp.uni-trier.de/db/conf/lcn/
计算机网络	GLOBECOM	IEEE Global Communications Conference	Conference	C	IEEE	http://dblp.uni-trier.de/db/conf/globecom/
计算机网络	ICC	IEEE International Conference on Communications	Conference	C	IEEE	http://dblp.uni-trier.de/db/conf/icc/
数据库/数据挖掘/内容检索	VLDB	International Conference on Very Large Data Bases	Conference	A	Morgan Kaufmann	http://dblp.uni-trier.de/db/conf/vldb/
数据库/数据挖掘/内容检索	CIKM	ACM International Conference on Information and Knowledge Management	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/cikm/
软件工程/系统软件/程序设计语言	RE	IEEE International Requirements Engineering Conference	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/re/
软件工程/系统软件/程序设计语言	CAiSE	International Conference on Advanced Information Systems Engineering	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/caise/
软件工程/系统软件/程序设计语言	ICFP	ACM SIGPLAN International Conference on Function Programming	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/icfp/
计算机图形学与多媒体	EuroVis	Eurographics Conference on Visualization	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/vissym/
计算机图形学与多媒体	SGP	Eurographics Symposium on Geometry Processing	Conference	B	Wiley/Blackwell	http://dblp.uni-trier.de/db/conf/sgp/
计算机图形学与多媒体	EGSR	Eurographics Symposium on Rendering	Conference	B	Wiley/Blackwell	http://dblp.uni-trier.de/db/conf/rt/
网络与信息安全	PKC	International Workshop on Practice and Theory in Public Key Cryptography	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/pkc/
网络与信息安全	TCC	Theory of Cryptography Conference	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/tcc/
网络与信息安全	WiSec	ACM Conference on Security and Privacy in Wireless and Mobile Networks	Conference	C	ACM	http://dblp.uni-trier.de/db/conf/wisec/
人机交互与普适计算	MobiQuitous	International Conference on Mobile and Ubiquitous Systems: Computing,Networking and Services	Conference	C	Springer	http://dblp.uni-trier.de/db/conf/mobiquitous/
人机交互与普适计算	AVI	International Working Conference on Advanced Visual Interfaces	Conference	C	ACM	http://dblp.uni-trier.de/db/conf/avi/
计算机体系结构/并行与分布计算/存储系统	ICCAD	International Conference on Computer-Aided Design	Conference	B	IEEE/ACM	http://dblp.uni-trier.de/db/conf/iccad/
计算机体系结构/并行与分布计算/存储系统	ICDCS	IEEE International Conference on Distributed Computing Systems	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/icdcs/
计算机体系结构/并行与分布计算/存储系统	CODES+ISSS	International Conference on Hardware/Software Co-design and System Synthesis	Conference	B	ACM/ IEEE	https://dblp.uni-trier.de/db/conf/codesisss/index.html
交叉/综合/新兴	APBC	Asia Pacific Bioinformatics Conference	Conference	C	BioMed Central	http://dblp.uni-trier.de/db/conf/apbc/
交叉/综合/新兴	IEEE BigData	IEEE International Conference on Big Data	Conference	C	IEEE	https://dblp.uni-trier.de/db/conf/bigdataconf/
交叉/综合/新兴	IEEE CLOUD	IEEE International Conference on Cloud Computing	Conference	C	IEEE	http://dblp.uni-trier.de/db/conf/IEEEcloud/
计算机科学理论	SAT	International Conference on Theory and Applications of Satisfiability Testing	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/sat/
计算机科学理论	COCOON	International Computing and Combinatorics Conference	Conference	B	Springer	https://dblp.org/db/conf/cocoon/index.html
计算机网络	ICCCN	IEEE International Conference on Computer Communications and Networks	Conference	C	IEEE	http://dblp.uni-trier.de/db/conf/icccn/
计算机网络	MASS	IEEE International Conference on Mobile Ad-hoc and Sensor Systems	Conference	C	IEEE	http://dblp.uni-trier.de/db/conf/mass/index.html
计算机网络	P2P	IEEE International Conference on P2P Computing	Conference	C	IEEE	http://dblp.uni-trier.de/db/conf/p2p/
数据库/数据挖掘/内容检索	WSDM	ACM International Conference on Web Search and Data Mining	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/wsdm/
数据库/数据挖掘/内容检索	PODS	ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/pods/
数据库/数据挖掘/内容检索	DASFAA	International Conference on Database Systems for Advanced Applications	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/dasfaa/
软件工程/系统软件/程序设计语言	LCTES	ACM SIGPLAN/SIGBED International Conference on Languages, Compilers andTools for Embedded Systems	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/lctrts/
软件工程/系统软件/程序设计语言	MoDELS	ACM/IEEE International Conference on Model Driven Engineering Languages and Systems	Conference	B	ACM, IEEE	http://dblp.uni-trier.de/db/conf/models/
计算机图形学与多媒体	ICASSP	IEEE International Conference on Acoustics,Speech and Signal Processing	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/icassp/
计算机图形学与多媒体	ICME	IEEE International Conference on Multimedia& Expo	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/icmcs/
网络与信息安全	SACMAT	ACM Symposium on Access Control Models and Technologies	Conference	C	ACM	http://dblp.uni-trier.de/db/conf/sacmat/
网络与信息安全	DRM	ACM Workshop on Digital Rights Management	Conference	C	ACM	http://dblp.uni-trier.de/db/conf/drm/
计算机体系结构/并行与分布计算/存储系统	HiPEAC	International Conference on High Performance and Embedded Architectures and Compilers	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/hipeac/
计算机体系结构/并行与分布计算/存储系统	SIGMETRICS	International Conference on Measurement and Modeling of Computer Systems	Conference	B	ACM	http://dblp.uni-trier.de/db/conf/sigmetrics/
交叉/综合/新兴	SMC	IEEE International Conference on Systems, Man, and Cybernetics	Conference	C	IEEE	https://dblp.uni-trier.de/db/conf/smc/
交叉/综合/新兴	COSIT	International Conference on Spatial Information Theory	Conference	C	ACM	http://dblp.uni-trier.de/db/conf/cosit/
计算机科学理论	CSL	Computer Science Logic	Conference	C	Springer	http://dblp.uni-trier.de/db/conf/csl/
计算机网络	IPCCC	IEEE International Performance Computing and Communications Conference	Conference	C	IEEE	http://dblp.uni-trier.de/db/conf/ipccc/
计算机网络	WoWMoM	IEEE International Symposium on a World of Wireless Mobile and Multimedia Networks	Conference	C	IEEE	http://dblp.uni-trier.de/db/conf/wowmom/
数据库/数据挖掘/内容检索	ECML-PKDD	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/ecml/
数据库/数据挖掘/内容检索	ISWC	IEEE International Semantic Web Conference	Conference	B	IEEE	http://dblp.uni-trier.de/db/conf/semweb/
软件工程/系统软件/程序设计语言	CP	International Conference on Principles and Practice of Constraint Programming	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/cp/
软件工程/系统软件/程序设计语言	ICSOC	International Conference on Service Oriented Computing	Conference	B	Springer	http://dblp.uni-trier.de/db/conf/icsoc/
计算机图形学与多媒体	ISMAR	International Symposium on Mixed and Augmented Reality	Conference	B	IEEE/ACM	http://dblp.uni-trier.de/db/conf/ismar/
网络与信息安全	IH&MMSec	ACM Workshop on Information Hiding and Multimedia Security	Conference	C	ACM	http://dblp.uni-trier.de/db/conf/ih/
计算机体系结构/并行与分布计算/存储系统	PACT	International Conference on Parallel Architectures and Compilation Techniques	Conference	B	IEEE/ACM	http://dblp.uni-trier.de/db/conf/IEEEpact/
交叉/综合/新兴	ISBRA	International Symposium on Bioinformatics Research and Applications	Conference	C	Springer	https://dblp.uni-trier.de/db/conf/isbra/
交叉/综合/新兴	SAGT	International Symposium on Algorithmic Game Theory	Conference	C	Springer	https://dblp.org/db/conf/sagt/index.html
交叉/综合/新兴	SIGSPATIAL	ACM Special Interest Group on Spatial Information	Conference	C	ACM	https://dblp.org/db/journals/sigspatial/index.html
计算机科学理论	FMCAD	Formal Method in Computer-Aided Design	Conference	C	ACM	http://dblp.uni-trier.de/db/conf/fmcad/
计算机科学理论	FSTTCS	Foundations of Software Technology and Theoretical Computer Science	Conference	C	Indian Association for Research in Computing Science	http://dblp.uni-trier.de/db/conf/fsttcs/
计算机科学理论	DSAA	IEEE International Conference on Data Science and Advanced Analytics	Conference	C	IEEE	https://dblp.uni-trier.de/db/conf/dsaa/
计算机网络	ISCC	IEEE Symposium on Computers and Communications	Conference	C	IEEE	http://dblp.uni-trier.de/db/conf/iscc/
计算机网络	WCNC	IEEE Wireless Communications and Networking Conference	Conference	C	IEEE	http://dblp.uni-trier.de/db/conf/wcnc/
计算机网络	Networking	IFIP International Conferences on Networking	Conference	C	IFIP	http://dblp.uni-trier.de/db/conf/networking/index.html
