计算机体系结构/并行与分布计算/存储系统	TOCS	ACM Transactions on Computer Systems	Journal	A	ACM	http://dblp.uni-trier.de/db/journals/tocs/
计算机体系结构/并行与分布计算/存储系统	TOS	ACM Transactions on Storage	Journal	A	ACM	http://dblp.uni-trier.de/db/journals/tos/
计算机体系结构/并行与分布计算/存储系统	TCAD	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tcad/
计算机体系结构/并行与分布计算/存储系统	TC	IEEE Transactions on Computers	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tc/index.html
计算机体系结构/并行与分布计算/存储系统	TPDS	IEEE Transactions on Parallel and Distributed Systems	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tpds/
计算机体系结构/并行与分布计算/存储系统	TACO	ACM Transactions on Architecture and Code Optimization	Journal	A	ACM	http://dblp.uni-trier.de/db/journals/taco/
交叉/综合/新兴	JACM	Journal of the ACM	Journal	A	ACM	http://dblp.uni-trier.de/db/journals/jacm/
计算机体系结构/并行与分布计算/存储系统	TAAS	ACM Transactions on Autonomous and Adaptive Systems	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/taas/
交叉/综合/新兴	Proc. IEEE	Proceedings of the IEEE	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/pieee/
交叉/综合/新兴	SCIS	Science China Information Sciences	Journal	A	Science in China Press/Springer	http://dblp.uni-trier.de/db/journals/chinaf/
人工智能	AI	Artificial Intelligence	Journal	A	Elsevier	http://dblp.uni-trier.de/db/journals/ai/
计算机科学理论	TIT	IEEE Transactions on Information Theory	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tit/
计算机网络	JSAC	IEEE Journal on Selected Areas in Communications	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/jsac/
计算机体系结构/并行与分布计算/存储系统	TODAES	ACM Transactions on Design Automation of Electronic Systems	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/todaes/
计算机体系结构/并行与分布计算/存储系统	TECS	ACM Transactions on Embedded Computing Systems	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/tecs/
交叉/综合/新兴		Bioinformatics	Journal	B	Oxford University Press	http://dblp.uni-trier.de/db/journals/bioinformatics/
人工智能	TPAMI	IEEE Transactions on Pattern Analysis and Machine Intelligence	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/pami/
人工智能	IJCV	International Journal of Computer Vision	Journal	A	Springer	http://dblp.uni-trier.de/db/journals/ijcv/
计算机科学理论	IANDC	Information and Computation	Journal	A	Elsevier	http://dblp.uni-trier.de/db/journals/iandc/
计算机科学理论	SICOMP	SIAM Journal on Computing	Journal	A	SIAM	http://dblp.uni-trier.de/db/journals/siamcomp/
计算机网络	TMC	IEEE Transactions on Mobile Computing	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tmc/
计算机网络	TON	IEEE/ACM Transactions on Networking	Journal	A	IEEE/ACM	http://dblp.uni-trier.de/db/journals/ton/
计算机体系结构/并行与分布计算/存储系统	TRETS	ACM Transactions on Reconfigurable Technology and Systems	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/trets/
计算机体系结构/并行与分布计算/存储系统	TVLSI	IEEE Transactions on Very Large Scale Integration (VLSI) Systems	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/tvlsi/
交叉/综合/新兴		Briefings in Bioinformatics	Journal	B	Oxford University Press	http://dblp.uni-trier.de/db/journals/bib/
交叉/综合/新兴	Cognition	Cognition	Journal	B	Elsevier	http://www.journals.elsevier.com/cognition/
人工智能	JMLR	Journal of Machine Learning Research	Journal	A	MIT Press	http://dblp.uni-trier.de/db/journals/jmlr/
人工智能	TAP	ACM Transactions on Applied Perception	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/tap/
计算机科学理论	TALG	ACM Transactions on Algorithms	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/talg/
计算机网络	TOIT	ACM Transactions on Internet Technology	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/toit/
数据库/数据挖掘/内容检索	TODS	ACM Transactions on Database Systems	Journal	A	ACM	http://dblp.uni-trier.de/db/journals/tods/
软件工程/系统软件/程序设计语言	TOPLAS	ACM Transactions on Programming Languages and Systems	Journal	A	ACM	http://dblp.uni-trier.de/db/journals/toplas/
计算机图形学与多媒体	TOG	ACM Transactions on Graphics	Journal	A	ACM	http://dblp.uni-trier.de/db/journals/tog/
网络与信息安全	TDSC	IEEE Transactions on Dependable and Secure Computing	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tdsc/
人机交互与普适计算	TOCHI	ACM Transactions on Computer-Human Interaction	Journal	A	ACM	http://dblp.uni-trier.de/db/journals/tochi/
计算机体系结构/并行与分布计算/存储系统	JPDC	Journal of Parallel and Distributed Computing	Journal	B	Elsevier	http://dblp.uni-trier.de/db/journals/jpdc/
计算机体系结构/并行与分布计算/存储系统	JSA	Journal of Systems Architecture: Embedded Software Design	Journal	B	Elsevier	http://dblp.uni-trier.de/db/journals/jsa/
交叉/综合/新兴	TASAE	IEEE Transactions on Automation Science and Engineering	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/tase/
交叉/综合/新兴	TGARS	IEEE Transactions on Geoscience and Remote Sensing	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/tgrs/
人工智能	AAMAS	Autonomous Agents and Multi-Agent Systems	Journal	B	Springer	http://dblp.uni-trier.de/db/journals/aamas/
人工智能		Computational Linguistics	Journal	B	MIT Press	http://dblp.uni-trier.de/db/journals/coling/
计算机科学理论	TOCL	ACM Transactions on Computational Logic	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/tocl/
计算机网络	TOMM	ACM Transactions on Multimedia Computing, Communications and Applications	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/tomccap/
数据库/数据挖掘/内容检索	TOIS	ACM Transactions on Information Systems	Journal	A	ACM	http://dblp.uni-trier.de/db/journals/tois/
数据库/数据挖掘/内容检索	TKDE	IEEE Transactions on Knowledge and Data Engineering	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tkde/
软件工程/系统软件/程序设计语言	TOSEM	ACM Transactions on Software Engineering and Methodology	Journal	A	ACM	http://dblp.uni-trier.de/db/journals/tosem/
软件工程/系统软件/程序设计语言	TSE	IEEE Transactions on Software Engineering	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tse/
计算机图形学与多媒体	TIP	IEEE Transactions on Image Processing	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tip/
计算机图形学与多媒体	TVCG	IEEE Transactions on Visualization and Computer Graphics	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tvcg/
网络与信息安全	TIFS	IEEE Transactions on Information Forensics and Security	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tifs/
网络与信息安全		Journal of Cryptology	Journal	A	Springer	http://dblp.uni-trier.de/db/journals/joc/
人机交互与普适计算	IJHCS	International Journal of Human-Computer Studies	Journal	A	Elsevier	http://dblp.uni-trier.de/db/journals/ijmms/
人机交互与普适计算	CSCW	Computer Supported Cooperative Work	Journal	B	Springer	http://dblp.uni-trier.de/db/journals/cscw/
计算机体系结构/并行与分布计算/存储系统		Parallel Computing	Journal	B	Elsevier	https://dblp.org/db/journals/pc/index.html
计算机体系结构/并行与分布计算/存储系统	                   	Performance Evaluation: An International Journal	Journal	B	Elsevier	https://dblp.org/db/journals/pe/index.html
交叉/综合/新兴	TITS	IEEE Transactions on Intelligent Transportation Systems	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/tits/
交叉/综合/新兴	TMI	IEEE Transactions on Medical Imaging	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/tmi/
人工智能	CVIU	Computer Vision and Image Understanding	Journal	B	Elsevier	http://dblp.uni-trier.de/db/journals/cviu/
人工智能	DKE	Data & Knowledge Engineering	Journal	B	Elsevier	http://dblp.uni-trier.de/db/journals/dke/index.html
计算机科学理论	TOMS	ACM Transactions on Mathematical Software	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/toms/
计算机科学理论	Algorithmica	Algorithmica	Journal	B	Springer	http://dblp.uni-trier.de/db/journals/algorithmica/
计算机网络	TOSN	ACM Transactions on Sensor Networks	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/tosn/
计算机网络	CN	Computer Networks	Journal	B	Elsevier	http://dblp.uni-trier.de/db/journals/cn/
数据库/数据挖掘/内容检索	VLDBJ	The VLDB Journal	Journal	A	Springer	http://dblp.uni-trier.de/db/journals/vldb/
数据库/数据挖掘/内容检索	TKDD	ACM Transactions on KnowledgeDiscovery from Data	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/tkdd/
软件工程/系统软件/程序设计语言	TSC	IEEE Transactions on Services Computing	Journal	A	IEEE	http://dblp.uni-trier.de/db/journals/tsc/
软件工程/系统软件/程序设计语言	ASE	Automated Software Engineering	Journal	B	Springer	http://dblp.uni-trier.de/db/journals/ase/
计算机图形学与多媒体	TOMM	ACM Transactions on Multimedia Computing,Communications and Applications	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/tomccap/
网络与信息安全	TOPS	ACM Transactions on Privacy and Security	Journal	B	ACM	https://dblp.org/db/journals/tissec/index.html
网络与信息安全		Computers & Security	Journal	B	Elsevier	http://dblp.uni-trier.de/db/journals/compsec/
人机交互与普适计算	HCI	Human-Computer Interaction	Journal	B	Taylor & Francis	http://dblp.uni-trier.de/db/journals/hhci/
人机交互与普适计算		IEEE Transactions on Human-Machine Systems	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/thms/
人机交互与普适计算	IWC	Interacting with Computers	Journal	B	Oxford University Press	http://dblp.uni-trier.de/db/journals/iwc/
计算机体系结构/并行与分布计算/存储系统	JETC	ACM Journal on Emerging Technologies in Computing Systems	Journal	C	ACM	http://dblp.uni-trier.de/db/journals/jetc/
交叉/综合/新兴	TR	IEEE Transactions on Robotics	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/trob/
交叉/综合/新兴	TCBB	IEEE-ACM Transactions on Computational Biology and Bioinformatics	Journal	B	IEEE/ACM	http://dblp.uni-trier.de/db/journals/tcbb/
交叉/综合/新兴	JCST	Journal of Computer Science and Technology	Journal	B	SCIENCE PRESS	http://dblp.uni-trier.de/db/journals/jcst/
人工智能		Evolutionary Computation	Journal	B	MIT Press	http://dblp.uni-trier.de/db/journals/ec/
人工智能	TAC	IEEE Transactions on Affective Computing	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/taffco/
人工智能	TASLP	IEEE/ACM Transactions on Audio, Speech and Language Processing	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/taslp/
计算机科学理论	CC	Computational complexity	Journal	B	Springer	http://dblp.uni-trier.de/db/journals/cc/
计算机科学理论	FAC	Formal Aspects of Computing	Journal	B	Springer	http://dblp.uni-trier.de/db/journals/fac/
计算机科学理论	FMSD	Formal Methods in System Design	Journal	B	Springer	http://dblp.uni-trier.de/db/journals/fmsd/
计算机网络	TCOM	IEEE Transactions on Communications	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/tcom/
计算机网络	TWC	IEEE Transactions on Wireless Communications	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/twc/
计算机网络		Ad hoc Networks	Journal	C	Elsevier	http://dblp.uni-trier.de/db/journals/adhoc/
数据库/数据挖掘/内容检索	TWEB	ACM Transactions on the Web	Journal	B	ACM	http://dblp.uni-trier.de/db/journals/tweb/
数据库/数据挖掘/内容检索	AEI	Advanced Engineering Informatics	Journal	B	Elsevier	http://dblp.uni-trier.de/db/journals/aei/
数据库/数据挖掘/内容检索	DKE	Data & Knowledge Engineering	Journal	B	Elsevier	http://dblp.uni-trier.de/db/journals/dke/
软件工程/系统软件/程序设计语言	ESE	Empirical Software Engineering	Journal	B	Springer	http://dblp.uni-trier.de/db/journals/ese/
软件工程/系统软件/程序设计语言	IETS	IET Software	Journal	B	IET	http://dblp.uni-trier.de/db/journals/iee/index.html
软件工程/系统软件/程序设计语言	IST	Information and Software Technology	Journal	B	Elsevier	http://dblp.uni-trier.de/db/journals/infsof/index.html
软件工程/系统软件/程序设计语言	JFP	Journal of Functional Programming	Journal	B	Cambridge University Press	http://dblp.uni-trier.de/db/journals/jfp/
计算机图形学与多媒体	CAGD	Computer Aided Geometric Design	Journal	B	Elsevier	http://dblp.uni-trier.de/db/journals/cagd/
计算机图形学与多媒体	CGF	Computer Graphics Forum	Journal	B	Wiley	http://dblp.uni-trier.de/db/journals/cgf/
计算机图形学与多媒体	CAD	Computer-Aided Design	Journal	B	Elsevier	http://dblp.uni-trier.de/db/journals/cad/
网络与信息安全		Designs, Codes and Cryptography	Journal	B	Springer	http://dblp.uni-trier.de/db/journals/dcc/
网络与信息安全	JCS	Journal of Computer Security	Journal	B	IOS Press	http://dblp.uni-trier.de/db/journals/jcs/
网络与信息安全	CLSR	Computer Law & Security Review	Journal	C	Elsevier	https://dblp.org/db/journals/clsr/index.html
人机交互与普适计算	IJHCI	International Journal of Human-Computer Interaction	Journal	B	Taylor &Francis	http://dblp.uni-trier.de/db/journals/ijhci/
人机交互与普适计算	UMUAI	User Modeling and User-Adapted Interaction	Journal	B	Springer	http://dblp.uni-trier.de/db/journals/umuai/
计算机体系结构/并行与分布计算/存储系统		Concurrency and Computation: Practice and Experience	Journal	C	Wiley	http://dblp.uni-trier.de/db/journals/concurrency/
计算机体系结构/并行与分布计算/存储系统	DC	Distributed Computing	Journal	C	Springer	http://dblp.uni-trier.de/db/journals/dc/
交叉/综合/新兴	JAMIA	Journal of the American Medical Informatics Association	Journal	B	BMJ Journals	http://dblp.uni-trier.de/db/journals/jamia/
交叉/综合/新兴		PLOS Computational Biology	Journal	B	Public Library of Science	http://dblp.uni-trier.de/db/journals/ploscb/
人工智能		IEEE Transactions on Cybernetics	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/tcyb/
人工智能	TEC	IEEE Transactions on Evolutionary Computation	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/tec/
计算机科学理论	INFORMS	INFORMS Journal on Computing	Journal	B	INFORMS	http://dblp.uni-trier.de/db/journals/informs/
计算机科学理论	JCSS	Journal of Computer and System Sciences	Journal	B	Elsevier	http://dblp.uni-trier.de/db/journals/jcss/
计算机网络	CC	Computer Communications	Journal	C	Elsevier	http://dblp.uni-trier.de/db/journals/comcom/
计算机网络	TNSM	IEEE Transactions on Network and Service Management	Journal	C	IEEE	http://dblp.uni-trier.de/db/journals/tnsm/
数据库/数据挖掘/内容检索	DMKD	Data Mining and KnowledgeDiscovery	Journal	B	Springer	http://dblp.uni-trier.de/db/journals/datamine/
数据库/数据挖掘/内容检索	EJIS	European Journal of Information Systems	Journal	B	The OR Society	http://dblp.uni-trier.de/db/journals/ejis/
软件工程/系统软件/程序设计语言		Journal of Software: Evolution and Process	Journal	B	Wiley	http://dblp.uni-trier.de/db/journals/smr/
软件工程/系统软件/程序设计语言	JSS	Journal of Systems and Software	Journal	B	Elsevier	http://dblp.uni-trier.de/db/journals/jss/
计算机图形学与多媒体	GM	Graphical Models	Journal	B	Elsevier	http://dblp.uni-trier.de/db/journals/cvgip/
计算机图形学与多媒体	TCSVT	IEEE Transactions on Circuits and Systems for Video Technology	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/tcsv/
网络与信息安全		EURASIP Journal on Information Security	Journal	C	Springer	http://dblp.uni-trier.de/db/journals/ejisec/
网络与信息安全		IET Information Security	Journal	C	IET	http://dblp.uni-trier.de/db/journals/iet-ifs/
人机交互与普适计算	TSMC	IEEE Transactions on Systems, Man, and Cybernetics: Systems	Journal	B	IEEE	https://dblp.org/db/journals/tsmc/
人机交互与普适计算	BIT	Behaviour & Information Technology	Journal	C	Taylor & Francis	http://dblp.uni-trier.de/db/journals/behaviourIT/
计算机体系结构/并行与分布计算/存储系统	FGCS	Future Generation Computer Systems	Journal	C	Elsevier	http://dblp.uni-trier.de/db/journals/fgcs/
计算机体系结构/并行与分布计算/存储系统	TCC	IEEE Transactions on Cloud Computing	Journal	C	IEEE	https://dblp.uni-trier.de/db/journals/tcc/
交叉/综合/新兴		The Computer Journal	Journal	B	Oxford University Press	http://dblp.uni-trier.de/db/journals/cj/
交叉/综合/新兴	WWW	World Wide Web 	Journal	B	Springer	https://dblp.org/db/journals/www/index.html
人工智能	TFS	IEEE Transactions on Fuzzy Systems	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/tfs/
人工智能	TNNLS	IEEE Transactions on Neural Networks and learning systems	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/tnn/
计算机科学理论	JGO	Journal of Global Optimization	Journal	B	Springer	http://dblp.uni-trier.de/db/journals/jgo/
计算机网络		IET Communications	Journal	C	IET	http://dblp.uni-trier.de/db/journals/iet-com/
数据库/数据挖掘/内容检索		GeoInformatica	Journal	B	Springer	http://dblp.uni-trier.de/db/journals/geoinformatica/
软件工程/系统软件/程序设计语言	RE	Requirements Engineering	Journal	B	Springer	http://dblp.uni-trier.de/db/journals/re/
计算机图形学与多媒体	TMM	IEEE Transactions on Multimedia	Journal	B	IEEE	http://dblp.uni-trier.de/db/journals/tmm/
网络与信息安全	IMCS	Information and Computer Security	Journal	C	Emerald	http://dblp.uni-trier.de/db/journals/imcs/
人机交互与普适计算	PUC	Personal and Ubiquitous Computing	Journal	C	Springer	http://dblp.uni-trier.de/db/journals/puc/
人机交互与普适计算	PMC	Pervasive and Mobile Computing	Journal	C	Elsevier	http://dblp.uni-trier.de/db/journals/percom/
计算机体系结构/并行与分布计算/存储系统	Integration	Integration, the VLSI Journal	Journal	C	Elsevier	http://dblp.uni-trier.de/db/journals/integration/
计算机体系结构/并行与分布计算/存储系统	JETTA	Journal of Electronic Testing-Theory and Applications	Journal	C	Springer	https://dblp.org/db/journals/et/index.html
计算机体系结构/并行与分布计算/存储系统	JGC	The Journal of Grid computing	Journal	C	Springer	http://link.springer.com/journal/10723
计算机体系结构/并行与分布计算/存储系统	RTS	Real-Time Systems	Journal	C	Springer	http://dblp.uni-trier.de/db/journals/rts/
